"filename", "language", "pip requirements", "Jupyter", "comment", "blank", "total"
"/home/ilobach/fur/acnet_reader/.ipynb_checkpoints/acnet_reader-checkpoint.ipynb", "Jupyter", 0, 296, 0, 1, 297
"/home/ilobach/fur/acnet_reader/acnet_reader.ipynb", "Jupyter", 0, 296, 0, 1, 297
"/home/ilobach/fur/acnet_reader/fur_data_reader_tests.ipynb", "Jupyter", 0, 240, 0, 0, 240
"/home/ilobach/fur/fur/tests/testing_calcuation_of_fluctuation.ipynb", "Jupyter", 0, 508, 0, 0, 508
"/home/ilobach/fur/fur/tests/testing_finding_period.ipynb", "Jupyter", 0, 301, 0, 0, 301
"/home/ilobach/fur/fur_cpp/jupyter/.ipynb_checkpoints/Untitled-checkpoint.ipynb", "Jupyter", 0, 6, 0, 1, 7
"/home/ilobach/fur/fur_cpp/jupyter/.ipynb_checkpoints/cpp-checkpoint.ipynb", "Jupyter", 0, 473, 0, 1, 474
"/home/ilobach/fur/fur_cpp/jupyter/Untitled.ipynb", "Jupyter", 0, 210, 0, 1, 211
"/home/ilobach/fur/fur_cpp/jupyter/cpp.ipynb", "Jupyter", 0, 502, 0, 1, 503
"/home/ilobach/fur/lattice/lattice_devs/.ipynb_checkpoints/lattice_dev_03_10_2020-checkpoint.ipynb", "Jupyter", 0, 289, 0, 1, 290
"/home/ilobach/fur/lattice/lattice_devs/.ipynb_checkpoints/lattice_dev_03_16_2020-checkpoint.ipynb", "Jupyter", 0, 13901, 0, 1, 13902
"/home/ilobach/fur/lattice/lattice_devs/.ipynb_checkpoints/lattice_dev_FLAT_03_16_2020-checkpoint.ipynb", "Jupyter", 0, 1175, 0, 1, 1176
"/home/ilobach/fur/lattice/lattice_devs/.ipynb_checkpoints/lattice_dev_ROUND_03_16_2020-checkpoint.ipynb", "Jupyter", 0, 1082, 0, 1, 1083
"/home/ilobach/fur/lattice/lattice_devs/.ipynb_checkpoints/lattice_dev_ROUND_03_16_2020_for_each_camera-checkpoint.ipynb", "Jupyter", 0, 1175, 0, 1, 1176
"/home/ilobach/fur/lattice/lattice_devs/diffraction_effects_etc.ipynb", "Jupyter", 0, 79, 0, 0, 79
"/home/ilobach/fur/lattice/lattice_devs/lattice_dev_03_10_2020.ipynb", "Jupyter", 0, 948, 0, 1, 949
"/home/ilobach/fur/lattice/lattice_devs/lattice_dev_03_16_2020.ipynb", "Jupyter", 0, 13901, 0, 1, 13902
"/home/ilobach/fur/lattice/lattice_devs/lattice_dev_FLAT_03_16_2020.ipynb", "Jupyter", 0, 1163, 0, 1, 1164
"/home/ilobach/fur/lattice/lattice_devs/lattice_dev_ROUND_03_16_2020.ipynb", "Jupyter", 0, 7769, 0, 1, 7770
"/home/ilobach/fur/lattice/lattice_devs/lattice_dev_ROUND_03_16_2020_for_each_camera.ipynb", "Jupyter", 0, 1252, 0, 1, 1253
"/home/ilobach/fur/requirements.txt", "pip requirements", 43, 0, 0, 1, 44
"/home/ilobach/fur/shifts/APT_seminar_08_14_2020/.ipynb_checkpoints/on_axis_many_pulses_diagram-checkpoint.ipynb", "Jupyter", 0, 103, 0, 1, 104
"/home/ilobach/fur/shifts/APT_seminar_08_14_2020/on_axis_many_pulses_diagram.ipynb", "Jupyter", 0, 103, 0, 1, 104
"/home/ilobach/fur/shifts/IOTA_Collaboration_meeting_2020/.ipynb_checkpoints/Untitled-checkpoint.ipynb", "Jupyter", 0, 6, 0, 1, 7
"/home/ilobach/fur/shifts/IOTA_Collaboration_meeting_2020/.ipynb_checkpoints/experiment_description-checkpoint.ipynb", "Jupyter", 0, 280, 0, 1, 281
"/home/ilobach/fur/shifts/IOTA_Collaboration_meeting_2020/Untitled.ipynb", "Jupyter", 0, 115, 0, 1, 116
"/home/ilobach/fur/shifts/IOTA_Collaboration_meeting_2020/directly_connected_pulses/.ipynb_checkpoints/Untitled-checkpoint.ipynb", "Jupyter", 0, 236, 0, 1, 237
"/home/ilobach/fur/shifts/IOTA_Collaboration_meeting_2020/directly_connected_pulses/Untitled.ipynb", "Jupyter", 0, 236, 0, 1, 237
"/home/ilobach/fur/shifts/IOTA_Collaboration_meeting_2020/experiment_description.ipynb", "Jupyter", 0, 288, 0, 1, 289
"/home/ilobach/fur/shifts/for_PRAB_paper/.ipynb_checkpoints/M_calculation_BNL-checkpoint.ipynb", "Jupyter", 0, 3456, 0, 1, 3457
"/home/ilobach/fur/shifts/for_PRAB_paper/.ipynb_checkpoints/M_calculation_IOTA-checkpoint.ipynb", "Jupyter", 0, 3534, 0, 1, 3535
"/home/ilobach/fur/shifts/for_PRAB_paper/.ipynb_checkpoints/for_paper-checkpoint.ipynb", "Jupyter", 0, 303, 0, 1, 304
"/home/ilobach/fur/shifts/for_PRAB_paper/.ipynb_checkpoints/vpython_test-checkpoint.ipynb", "Jupyter", 0, 6, 0, 1, 7
"/home/ilobach/fur/shifts/for_PRAB_paper/M_calculation_BNL.ipynb", "Jupyter", 0, 3456, 0, 1, 3457
"/home/ilobach/fur/shifts/for_PRAB_paper/M_calculation_IOTA.ipynb", "Jupyter", 0, 3534, 0, 1, 3535
"/home/ilobach/fur/shifts/for_PRAB_paper/for_paper.ipynb", "Jupyter", 0, 303, 0, 1, 304
"/home/ilobach/fur/shifts/for_PRAB_paper/vpython_test.ipynb", "Jupyter", 0, 163, 0, 1, 164
"/home/ilobach/fur/shifts/for_PRL_paper/.ipynb_checkpoints/aps_estimations-checkpoint.ipynb", "Jupyter", 0, 6, 0, 1, 7
"/home/ilobach/fur/shifts/for_PRL_paper/.ipynb_checkpoints/aps_upgrade_flat_avN_M-checkpoint.ipynb", "Jupyter", 0, 843, 0, 1, 844
"/home/ilobach/fur/shifts/for_PRL_paper/.ipynb_checkpoints/aps_upgrade_flat_avN_M_v1-checkpoint.ipynb", "Jupyter", 0, 883, 0, 1, 884
"/home/ilobach/fur/shifts/for_PRL_paper/.ipynb_checkpoints/aps_upgrade_round_avN_M-checkpoint.ipynb", "Jupyter", 0, 686, 0, 1, 687
"/home/ilobach/fur/shifts/for_PRL_paper/.ipynb_checkpoints/aps_upgrade_round_avN_M_v1-checkpoint.ipynb", "Jupyter", 0, 933, 0, 1, 934
"/home/ilobach/fur/shifts/for_PRL_paper/.ipynb_checkpoints/aps_upgrade_round_avN_M_v2-checkpoint.ipynb", "Jupyter", 0, 933, 0, 1, 934
"/home/ilobach/fur/shifts/for_PRL_paper/.ipynb_checkpoints/aps_upgrade_round_avN_M_v3-checkpoint.ipynb", "Jupyter", 0, 933, 0, 1, 934
"/home/ilobach/fur/shifts/for_PRL_paper/.ipynb_checkpoints/australian_synchrotron-checkpoint.ipynb", "Jupyter", 0, 670, 0, 1, 671
"/home/ilobach/fur/shifts/for_PRL_paper/.ipynb_checkpoints/australian_synchrotron_avN_M-checkpoint.ipynb", "Jupyter", 0, 629, 0, 1, 630
"/home/ilobach/fur/shifts/for_PRL_paper/.ipynb_checkpoints/figures-checkpoint.ipynb", "Jupyter", 0, 6, 0, 1, 7
"/home/ilobach/fur/shifts/for_PRL_paper/.ipynb_checkpoints/generate_numericalvalues-checkpoint.ipynb", "Jupyter", 0, 684, 0, 1, 685
"/home/ilobach/fur/shifts/for_PRL_paper/.ipynb_checkpoints/samle_Sigma_Delta_waveforms-checkpoint.ipynb", "Jupyter", 0, 119, 0, 1, 120
"/home/ilobach/fur/shifts/for_PRL_paper/.ipynb_checkpoints/samle_Sigma_Delta_waveforms_IOTA_signal-checkpoint.ipynb", "Jupyter", 0, 191, 0, 1, 192
"/home/ilobach/fur/shifts/for_PRL_paper/.ipynb_checkpoints/spectral_angular_distribution-checkpoint.ipynb", "Jupyter", 0, 436, 0, 1, 437
"/home/ilobach/fur/shifts/for_PRL_paper/IBS/.ipynb_checkpoints/IBS_SN_IL-checkpoint.ipynb", "Jupyter", 0, 799, 0, 1, 800
"/home/ilobach/fur/shifts/for_PRL_paper/IBS/IBS_SN_IL.ipynb", "Jupyter", 0, 799, 0, 1, 800
"/home/ilobach/fur/shifts/for_PRL_paper/aps_estimations.ipynb", "Jupyter", 0, 113, 0, 1, 114
"/home/ilobach/fur/shifts/for_PRL_paper/aps_upgrade_flat_avN_M.ipynb", "Jupyter", 0, 843, 0, 1, 844
"/home/ilobach/fur/shifts/for_PRL_paper/aps_upgrade_flat_avN_M_v1.ipynb", "Jupyter", 0, 943, 0, 1, 944
"/home/ilobach/fur/shifts/for_PRL_paper/aps_upgrade_round_avN_M.ipynb", "Jupyter", 0, 913, 0, 1, 914
"/home/ilobach/fur/shifts/for_PRL_paper/aps_upgrade_round_avN_M_v1.ipynb", "Jupyter", 0, 933, 0, 1, 934
"/home/ilobach/fur/shifts/for_PRL_paper/aps_upgrade_round_avN_M_v2.ipynb", "Jupyter", 0, 933, 0, 1, 934
"/home/ilobach/fur/shifts/for_PRL_paper/aps_upgrade_round_avN_M_v3.ipynb", "Jupyter", 0, 1096, 0, 1, 1097
"/home/ilobach/fur/shifts/for_PRL_paper/australian_synchrotron.ipynb", "Jupyter", 0, 647, 0, 1, 648
"/home/ilobach/fur/shifts/for_PRL_paper/australian_synchrotron_avN_M.ipynb", "Jupyter", 0, 629, 0, 1, 630
"/home/ilobach/fur/shifts/for_PRL_paper/figures.ipynb", "Jupyter", 0, 97, 0, 1, 98
"/home/ilobach/fur/shifts/for_PRL_paper/generate_numericalvalues.ipynb", "Jupyter", 0, 691, 0, 1, 692
"/home/ilobach/fur/shifts/for_PRL_paper/samle_Sigma_Delta_waveforms.ipynb", "Jupyter", 0, 191, 0, 1, 192
"/home/ilobach/fur/shifts/for_PRL_paper/samle_Sigma_Delta_waveforms_IOTA_signal.ipynb", "Jupyter", 0, 213, 0, 1, 214
"/home/ilobach/fur/shifts/for_PRL_paper/spectral_angular_distribution.ipynb", "Jupyter", 0, 501, 0, 1, 502
"/home/ilobach/fur/shifts/shift_03_09_2020/.ipynb_checkpoints/amlitude_vs_current_directly_connected_03_09_2020-checkpoint.ipynb", "Jupyter", 0, 1320, 0, 1, 1321
"/home/ilobach/fur/shifts/shift_03_09_2020/IWCMI_vs_IBEAMA.ipynb", "Jupyter", 0, 635, 0, 0, 635
"/home/ilobach/fur/shifts/shift_03_09_2020/accounting_for_beam_angular_spread_03_09_2020.ipynb", "Jupyter", 0, 628, 0, 0, 628
"/home/ilobach/fur/shifts/shift_03_09_2020/amlitude_vs_current_directly_connected_03_09_2020.ipynb", "Jupyter", 0, 1410, 0, 1, 1411
"/home/ilobach/fur/shifts/shift_03_09_2020/comb_filter_no_nd_filter_data_03_09_2020.ipynb", "Jupyter", 0, 257, 0, 0, 257
"/home/ilobach/fur/shifts/shift_03_09_2020/integrator_transmission_function.ipynb", "Jupyter", 0, 590, 0, 0, 590
"/home/ilobach/fur/shifts/shift_03_09_2020/no_comb_filter_no_nd_filter_data_03_09_2020.ipynb", "Jupyter", 0, 1190, 0, 0, 1190
"/home/ilobach/fur/shifts/shift_03_09_2020/no_comb_filter_no_nd_filter_data_03_09_2020_old_fluctuations_analysis.ipynb", "Jupyter", 0, 248, 0, 0, 248
"/home/ilobach/fur/shifts/shift_03_09_2020/reading_from_acnet_03_09_2020.ipynb", "Jupyter", 0, 216, 0, 0, 216
"/home/ilobach/fur/shifts/shift_03_10_2020/.ipynb_checkpoints/IBS_03_10_2020-checkpoint.ipynb", "Jupyter", 0, 283, 0, 1, 284
"/home/ilobach/fur/shifts/shift_03_10_2020/.ipynb_checkpoints/nd_filters_data_03_10_2020-checkpoint.ipynb", "Jupyter", 0, 12945, 0, 1, 12946
"/home/ilobach/fur/shifts/shift_03_10_2020/.ipynb_checkpoints/plot_FlAT_ND_FILTERS-checkpoint.ipynb", "Jupyter", 0, 156, 0, 1, 157
"/home/ilobach/fur/shifts/shift_03_10_2020/IBS_03_10_2020.ipynb", "Jupyter", 0, 283, 0, 1, 284
"/home/ilobach/fur/shifts/shift_03_10_2020/devs/data_analysis_nd_filters_03_10_2020.ipynb", "Jupyter", 0, 282, 0, 0, 282
"/home/ilobach/fur/shifts/shift_03_10_2020/devs/nd_filters_data_03_10_2020_indiv_fluct.ipynb", "Jupyter", 0, 209, 0, 0, 209
"/home/ilobach/fur/shifts/shift_03_10_2020/devs/nd_filters_data_03_10_2020_individual_fluct_dev.ipynb", "Jupyter", 0, 295, 0, 0, 295
"/home/ilobach/fur/shifts/shift_03_10_2020/devs/scratch.ipynb", "Jupyter", 0, 92, 0, 0, 92
"/home/ilobach/fur/shifts/shift_03_10_2020/nd_filters_data_03_10_2020.ipynb", "Jupyter", 0, 13040, 0, 1, 13041
"/home/ilobach/fur/shifts/shift_03_10_2020/plot_FlAT_ND_FILTERS.ipynb", "Jupyter", 0, 156, 0, 1, 157
"/home/ilobach/fur/shifts/shift_03_10_2020/reading_data_from_acnet_03_10_2020/reading_from_acnet_03_10_2020.ipynb", "Jupyter", 0, 240, 0, 0, 240
"/home/ilobach/fur/shifts/shift_03_10_2020/regenerate_fluctuations_data_03_10_2020.ipynb", "Jupyter", 0, 326, 0, 0, 326
"/home/ilobach/fur/shifts/shift_03_16_2020/.ipynb_checkpoints/bunch_length_noise_for_PRAB-checkpoint.ipynb", "Jupyter", 0, 6, 0, 1, 7
"/home/ilobach/fur/shifts/shift_03_16_2020/.ipynb_checkpoints/comarison-checkpoint.ipynb", "Jupyter", 0, 2972, 0, 1, 2973
"/home/ilobach/fur/shifts/shift_03_16_2020/.ipynb_checkpoints/comb_filter_no_nd_filters_FLAT_data_03_16_2020-checkpoint.ipynb", "Jupyter", 0, 2722, 0, 1, 2723
"/home/ilobach/fur/shifts/shift_03_16_2020/.ipynb_checkpoints/comb_filter_no_nd_filters_ROUND_LONG_data_03_16_2020-checkpoint.ipynb", "Jupyter", 0, 2824, 0, 1, 2825
"/home/ilobach/fur/shifts/shift_03_16_2020/.ipynb_checkpoints/comb_filter_no_nd_filters_ROUND_data_03_16_2020-checkpoint.ipynb", "Jupyter", 0, 5072, 0, 1, 5073
"/home/ilobach/fur/shifts/shift_03_16_2020/.ipynb_checkpoints/comb_filter_transmission_03_16_2020-checkpoint.ipynb", "Jupyter", 0, 592, 0, 1, 593
"/home/ilobach/fur/shifts/shift_03_16_2020/amplitude_vs_beam_current_03_16_2020/.ipynb_checkpoints/amp_vs_cur_03_16_2020-checkpoint.ipynb", "Jupyter", 0, 2905, 0, 1, 2906
"/home/ilobach/fur/shifts/shift_03_16_2020/amplitude_vs_beam_current_03_16_2020/amlitude_vs_current_with_comb_filter_FLAT_03_16_2020.ipynb", "Jupyter", 0, 246, 0, 0, 246
"/home/ilobach/fur/shifts/shift_03_16_2020/amplitude_vs_beam_current_03_16_2020/amlitude_vs_current_with_comb_filter_ROUND_03_16_2020.ipynb", "Jupyter", 0, 237, 0, 0, 237
"/home/ilobach/fur/shifts/shift_03_16_2020/amplitude_vs_beam_current_03_16_2020/amlitude_vs_current_with_comb_filter_ROUND_low_RF_03_16_2020.ipynb", "Jupyter", 0, 239, 0, 0, 239
"/home/ilobach/fur/shifts/shift_03_16_2020/amplitude_vs_beam_current_03_16_2020/amp_vs_cur_03_16_2020.ipynb", "Jupyter", 0, 2905, 0, 1, 2906
"/home/ilobach/fur/shifts/shift_03_16_2020/beam_energy_from_radiation_damping/beamenergy_from_radiation_damping.ipynb", "Jupyter", 0, 15354, 0, 0, 15354
"/home/ilobach/fur/shifts/shift_03_16_2020/bunch_length_noise_for_PRAB.ipynb", "Jupyter", 0, 626, 0, 1, 627
